,aegis_layer0,aegis_layer1,aegis_layer2,aegis_layer3,aegis_layer4,aegis_layer5,aegis_layer6,aegis_layer7,aegis_layer8,aegis_layer9,aegis_layer10,aegis_layer11,aegis_layer12,aegis_layer13,aegis_layer14,aegis_layer15,aegis_layer16,aegis_layer17,aegis_layer18,aegis_layer19,aegis_layer20,aegis_layer21,aegis_layer22,aegis_layer23,aegis_layer24,aegis_layer25,aegis_layer26,aegis_layer27,aegis_layer28,aegis_layer29,aegis_layer30,aegis_layer31
hh-rlhf_layer0,0.181850918257112,0.075146771037182,0.11469806304595519,0.1886380189366351,0.14343657817109146,0.15342365433906993,0.17456268221574345,0.16856408373117884,0.20942593905031892,0.22757187391756148,0.18349619978284473,0.1774310595065312,0.20049243756595145,0.18995010691375624,0.2407903549899531,0.23843782117163412,0.26360936984493566,0.2795627691288506,0.2978930307941653,0.27155172413793105,0.28743098408574214,0.3046293298802201,0.30016528925619834,0.3332271424020389,0.29036501150937194,0.33207902163687675,0.3524310932177145,0.28884462151394424,0.3225288831835687,0.28037995414346545,0.26476510067114095,0.2869822485207101
hh-rlhf_layer1,0.18875086266390614,0.07737874861162532,0.12083936324167872,0.18704537582265326,0.15294948781349346,0.16286416286416286,0.1839160839160839,0.16631799163179917,0.2126144455747711,0.2447951645399597,0.19616724738675959,0.18745644599303135,0.2126144455747711,0.2100898410504492,0.27278710102007236,0.2534837425348374,0.2851625362085613,0.2966183574879227,0.32201776649746194,0.2892615285391809,0.31349458943348185,0.3218789407313997,0.298256735340729,0.330070357907617,0.30450047877433767,0.3444071929289851,0.38151875571820676,0.29398592450415867,0.33416381189660543,0.29310892346776757,0.27249190938511325,0.2987261146496815
hh-rlhf_layer2,0.1879310344827586,0.07737874861162532,0.1163963963963964,0.18417415342087076,0.15010570824524314,0.15677374301675978,0.17081604426002767,0.1749209694415174,0.2105619498984428,0.23772954924874792,0.18665744901486347,0.18745644599303135,0.21384928716904278,0.19399931810433005,0.2644655116050997,0.2514077509108976,0.2826855123674912,0.28749600255836266,0.3157562361856647,0.2801793147614473,0.3181092302778665,0.33111111111111113,0.30779054916985954,0.34654691855063485,0.30283710551482307,0.34934230651575404,0.3743932038834951,0.31075826312378485,0.34126487163431435,0.2947535771065183,0.27455429497568884,0.2987261146496815
hh-rlhf_layer3,0.19469644103279832,0.0727812848124768,0.11525915186661834,0.19257703081232494,0.15081618168914124,0.16283998587071707,0.1815308988764045,0.1646811492641906,0.2071307300509338,0.2398250924991591,0.1814404432132964,0.1809623430962343,0.21621621621621623,0.20952050034746353,0.2535027696318019,0.2556818181818182,0.2775812158250241,0.293186955117856,0.32080280344058615,0.29333333333333333,0.3018389346861129,0.326550079491256,0.2965319758192809,0.3383854005567584,0.3048780487804878,0.3650497512437811,0.3684370257966616,0.3018440634098997,0.3280373831775701,0.29012738853503184,0.27768703038222803,0.301572024382419
hh-rlhf_layer4,0.18439468159552133,0.0730421686746988,0.12518518518518518,0.19143665958952583,0.15960912052117263,0.163447782546495,0.1798510109968074,0.17531305903398928,0.21998612074947954,0.23879076086956522,0.18767605633802817,0.18262098198516424,0.21956295525494277,0.20644935155976166,0.2617627567925779,0.24389427902308464,0.29375,0.2893368010403121,0.307129217059198,0.27360931435963776,0.3127824402840542,0.31918289179699966,0.30193548387096775,0.32878834831112486,0.3053484602917342,0.35841398688729315,0.3578371810449575,0.29257216996432045,0.325384374019454,0.29922279792746115,0.27326537323248934,0.29404186795491144
hh-rlhf_layer5,0.18323746918652423,0.07420980302336234,0.12228622064687639,0.16911764705882354,0.1465590484282073,0.1473903966597077,0.16138328530259366,0.15929941618015012,0.1943673145577152,0.2145342095090839,0.1653799268590004,0.1594616639477977,0.20199600798403194,0.17904456041750302,0.23292273236282196,0.22586798931705457,0.25936811168258633,0.25946142649199416,0.2804834696054035,0.2506375227686703,0.27123483226266953,0.2806212495587716,0.2660451774829688,0.3013415892672859,0.27331887201735355,0.30949948927477017,0.3278633623576691,0.25360230547550433,0.2784462014437951,0.26105717367853293,0.2351430667644901,0.26185344827586204
hh-rlhf_layer6,0.18128453038674033,0.07406029028656494,0.126007326007326,0.18282933611400765,0.1526147278548559,0.16055045871559634,0.17511359664452988,0.17557522123893804,0.20775246514790888,0.23756720430107528,0.1832696980215203,0.175,0.21311475409836064,0.18259095545732745,0.2570307390451275,0.24676187313184988,0.2861309138042774,0.2901353965183752,0.3215311004784689,0.2957287251385719,0.3125399872040947,0.3247537337146489,0.28901551123773345,0.34369173399627095,0.28943192637258014,0.3411800672577194,0.3666969972702457,0.30045278137128073,0.33751962323390894,0.29453149984010235,0.2787958115183246,0.2927295918367347
hh-rlhf_layer7,0.17582417582417584,0.08329498389323516,0.12777284826974267,0.17519443307408925,0.15087122821929452,0.14540922309929372,0.17867555185339443,0.18077900084674006,0.19793732645775486,0.21707222865971418,0.18933443571723854,0.18144159072079535,0.20270808442851454,0.1879032258064516,0.25407042786823175,0.2378025355359201,0.264532744665195,0.2664233576642336,0.28688524590163933,0.26034419626510436,0.2771816881258941,0.2938456065457133,0.27429805615550756,0.3089402830514325,0.2802755620014503,0.31435390385271056,0.32998661311914324,0.27661909989023054,0.29041190723433713,0.27715219760261534,0.26064227035100823,0.2793316382128587
hh-rlhf_layer8,0.16842501883948757,0.07860445565363598,0.12961443806398687,0.19080726149092314,0.16381028298126743,0.17630744849445326,0.18365758754863815,0.167704280155642,0.22008305020762553,0.23186813186813188,0.18944936465152099,0.1798228725452445,0.22054380664652568,0.20076045627376427,0.2612741589119542,0.2321492644420524,0.2718717323109097,0.28966725043782837,0.29945615227736233,0.2736144998257232,0.29732510288065844,0.29770734996628456,0.28317373461012313,0.32538894405825886,0.286696459264352,0.3269168026101142,0.33652618135376755,0.2784110535405872,0.30204890945142104,0.2806595671590519,0.2656084656084656,0.2965277777777778
hh-rlhf_layer9,0.17784711388455537,0.07996523250760539,0.12784810126582277,0.1717408274785324,0.15312753858651504,0.16310914216673378,0.1844,0.1624203821656051,0.2063552833078101,0.23337091319052988,0.18799368088467613,0.17951759588770264,0.21848414539829852,0.19217357613328168,0.26627436557557926,0.24139207700851537,0.2747409789210432,0.2805832147937411,0.2881239242685026,0.2706258890469417,0.2944055944055944,0.28864569083447333,0.2799860529986053,0.3081027009003001,0.292622661489587,0.33803289694528366,0.34281975793261366,0.2755461592670895,0.3006403774856758,0.27785564120532585,0.2642393655371305,0.26708289975719735
hh-rlhf_layer10,0.17520325203252032,0.0832183908045977,0.12866015971606035,0.17697664891437936,0.15319148936170213,0.15439330543933055,0.17364276833816825,0.15809128630705394,0.18602825745682888,0.21549730146491905,0.176062091503268,0.1866943866943867,0.1992063492063492,0.18727345952476843,0.23518449496831906,0.23524904214559386,0.26248164464023493,0.25524222704266086,0.28530771967271434,0.2666421478484737,0.27425106990014264,0.28996809641970933,0.2777777777777778,0.3002056202878684,0.2768341163715215,0.31953472459801574,0.31524975190208404,0.25983399494767234,0.2897648686030429,0.27049476345250995,0.24054351817847963,0.26535008976660684
hh-rlhf_layer11,0.1734362307067425,0.08629441624365482,0.12081128747795414,0.1694501018329939,0.13781512605042018,0.1559748427672956,0.16942148760330578,0.15534382767191385,0.2012728719172633,0.22846003898635478,0.1815195071868583,0.18144159072079535,0.19509299564701227,0.20146818923327894,0.24511278195488723,0.23637759017651575,0.2598973607038123,0.2595281306715064,0.2809506917346577,0.2566630156991603,0.2703664176449662,0.28108488904543855,0.268362594052311,0.2995202193283071,0.2637795275590551,0.32428718653383715,0.31851360318513605,0.26734471485652017,0.29624478442280944,0.2683982683982684,0.2573556797020484,0.27102129195236374
hh-rlhf_layer12,0.17393026941362916,0.07243816254416961,0.12419424151267727,0.19230769230769232,0.15292167426440115,0.15692684920310584,0.17857142857142858,0.1638211382113821,0.20623781676413255,0.2323270920901796,0.1799280287884846,0.17462866318747491,0.20482866043613707,0.20607028753993611,0.2578008915304606,0.24801211662249148,0.26750902527075815,0.28592162554426703,0.29389044943820225,0.25169099323602706,0.277602523659306,0.29574022346368717,0.2734319943622269,0.30168350168350166,0.27791563275434245,0.3233411923206467,0.3381818181818182,0.2585658777817026,0.3142067058416868,0.2721474131821403,0.24234785740007203,0.2666431842197957
hh-rlhf_layer13,0.17995444191343962,0.07387312186978297,0.1273989383421805,0.1811926605504587,0.1596671949286846,0.1597817614964926,0.1758580794446587,0.17729941291585127,0.2081312942931742,0.22768670309653916,0.18802762854950114,0.1866306027820711,0.21356313225927315,0.19569323762750282,0.2485855728429986,0.24134199134199133,0.2743116068316487,0.27868284228769497,0.29918588873812757,0.2716220910038208,0.29175187457396046,0.30138373270334123,0.2838114754098361,0.32027649769585254,0.2864493996569468,0.31844660194174756,0.34347965395706503,0.2799447704521919,0.3060886829913964,0.28350515463917525,0.26096106629252896,0.2802874743326489
hh-rlhf_layer14,0.1787974683544304,0.07425307557117751,0.10213478442863122,0.17399920729290527,0.13965798045602607,0.1493139628732849,0.17262143717382578,0.162227602905569,0.19930609097918273,0.2215523737754333,0.17777777777777778,0.17485029940119762,0.2058139534883721,0.1989735491512041,0.24151769427216344,0.23989520958083832,0.2636103151862464,0.2717857142857143,0.28096885813148786,0.27960883737776165,0.28356116368734663,0.2850741123750431,0.2700244840853445,0.32209737827715357,0.27266338721011946,0.3254954652334565,0.3297350343473994,0.26636009904492397,0.30474888964810387,0.27545968882602545,0.275570272259014,0.2619629758994062
hh-rlhf_layer15,0.1780333068992863,0.07502206531332745,0.12280701754385964,0.17089611419508327,0.1383108935128519,0.1498582422033212,0.17847025495750707,0.16234817813765182,0.19078694817658348,0.2302130898021309,0.1709537000395726,0.17172523961661343,0.20419254658385094,0.1865203761755486,0.2337331879316612,0.2383808095952024,0.25142247510668564,0.2564556066501592,0.28362877997914493,0.25543284645529035,0.2759343346140412,0.29762735519888345,0.26378227494766227,0.3,0.2780332507958967,0.3255892255892256,0.33464955577492594,0.26139173436948077,0.30167406901264093,0.2736283185840708,0.24612612612612614,0.2579406631762653
hh-rlhf_layer16,0.17385943279901356,0.07106598984771574,0.11610320284697509,0.1780821917808219,0.13395506570580754,0.15033783783783783,0.16444629475437136,0.16090985678180286,0.1957566052842274,0.2270759543486816,0.1845064556434819,0.16199505358615005,0.19289137380191693,0.19238641015145314,0.23317036479879655,0.2255956956187548,0.2598075499629904,0.2636029411764706,0.27104795737122556,0.26119126896041434,0.26673827425707125,0.28210601209533975,0.27065217391304347,0.3097560975609756,0.25331422429236833,0.3125,0.31060857998004654,0.2701212789415656,0.2892533147243545,0.27163198247535597,0.24785367674505412,0.263672582397682
hh-rlhf_layer17,0.17680950666186532,0.07598425196850393,0.1119147316330415,0.18353969410050983,0.14630523579650948,0.1632047477744807,0.16436865021770683,0.1595900439238653,0.21349518029275258,0.22868082144100244,0.1848617176128093,0.18395016489556615,0.21003915984336063,0.1994949494949495,0.2657750342935528,0.25557880055788007,0.272,0.28086522462562397,0.3081967213114754,0.2878328277721604,0.3010540184453228,0.31413612565445026,0.301128818061089,0.3334398976982097,0.2887277521423863,0.3471205854279351,0.3543870566272558,0.28933333333333333,0.31888246628131023,0.30529490616621985,0.26516172506738545,0.30163496830163494
hh-rlhf_layer18,0.1865727002967359,0.07506053268765134,0.11930926216640503,0.17902149740548554,0.14927646610814926,0.15823262839879154,0.16945996275605213,0.1572068707991038,0.2139992708713088,0.22774033345157857,0.19318607263197304,0.17459138187221396,0.21933357744415966,0.19530102790014683,0.25415512465373963,0.24585537918871253,0.2740564433866032,0.27058823529411763,0.29277942631058357,0.2844916124614858,0.29842756774841084,0.30479338842975207,0.29411764705882354,0.32664941785252266,0.2910924369747899,0.33879781420765026,0.34886649874055414,0.2808496291301416,0.32047089601046436,0.2943166441136671,0.27191166321601107,0.27903871829105475
hh-rlhf_layer19,0.18289615522817104,0.07192846034214619,0.11132075471698114,0.19445457862094126,0.15393175074183976,0.1725417439703154,0.17180137731061979,0.15778019586507072,0.22032085561497325,0.2238292011019284,0.19489981785063754,0.1780673181324647,0.21469127040454222,0.19393939393939394,0.26317579054743284,0.24399450926561428,0.2907563025210084,0.29056981006331223,0.31348167539267013,0.29287155346334903,0.3055190538764783,0.3108371187540558,0.2996044825313118,0.3338632750397456,0.2945047713063508,0.3398363750786658,0.36909602752580545,0.2802631578947368,0.3325806451612903,0.2942536327608983,0.26727028839704897,0.29580719709475073
hh-rlhf_layer20,0.17018683996750608,0.07270233196159122,0.11827007943512798,0.17673653925195232,0.1504047720494248,0.1506906655504395,0.1490228013029316,0.15875,0.19145569620253164,0.22581903276131046,0.18017276840806254,0.17085220255249073,0.21207243460764588,0.18611223253936213,0.24117205108940645,0.235678585159554,0.2643805309734513,0.25616835994194487,0.28495007132667616,0.254200146092038,0.2802730865971973,0.29283933024581404,0.27141828653707706,0.30798479087452474,0.28764619883040937,0.3143149982917663,0.3255347593582888,0.27090178897407813,0.2961672473867596,0.2756363636363636,0.23869069510849578,0.26402877697841726
hh-rlhf_layer21,0.18120567375886526,0.0787037037037037,0.12603773584905661,0.19215545160129544,0.16236162361623616,0.1628498727735369,0.18080115481775533,0.17747813411078717,0.21944346600915815,0.24627124523066252,0.19302659956865564,0.17600856836843984,0.2130343377715487,0.20355239786856127,0.2635476270615954,0.2595393606050189,0.2947263017356475,0.3066132264529058,0.31890660592255127,0.272608125819135,0.3067404754151742,0.3077909586405899,0.3030104712041885,0.33860259247549795,0.3004909983633388,0.36326142131979694,0.37741734248284464,0.2880078636959371,0.32971938775510207,0.29685452162516385,0.27564316739057804,0.29924614880367095
hh-rlhf_layer22,0.18526543878656554,0.08620007908264136,0.11639406618486116,0.19037199124726478,0.14554857776135943,0.16236162361623616,0.17756667884545121,0.1715758468335788,0.20856940509915015,0.22842287694974003,0.18178532706902784,0.17828612926652143,0.21805852962169878,0.19763271162123386,0.2606328683225587,0.24526352049603858,0.28437290409121396,0.28126036484245437,0.3,0.290811174688657,0.30309007232084156,0.3135593220338983,0.29973562458691344,0.3465250965250965,0.30149253731343284,0.3417561591914087,0.36511409815567364,0.2901296111665005,0.32508038585209004,0.28924802110817943,0.2694509936005389,0.3019620884602594
hh-rlhf_layer23,0.17693588676103247,0.075046904315197,0.10714285714285714,0.1817416912074043,0.13757523645743766,0.15072587532023912,0.16596461668070767,0.1559983043662569,0.19082125603864733,0.21614173228346456,0.16563146997929606,0.1722689075630252,0.19082125603864733,0.18780889621087316,0.22180451127819548,0.22243713733075435,0.24722838137472283,0.26082130965593786,0.2761596548004315,0.25697285236147266,0.27972283005105764,0.27632988218493393,0.2735261808861223,0.3064798598949212,0.28007380073800736,0.31018998272884285,0.3189480782198247,0.2758749069247952,0.29861849096705634,0.26196565582754844,0.25768500948766604,0.27252666421478483
hh-rlhf_layer24,0.1671785870996051,0.07052896725440806,0.11739130434782609,0.17317939609236235,0.14134438305709024,0.14909090909090908,0.1453104359313078,0.1474675033617212,0.18564146134239592,0.2190237797246558,0.17168141592920355,0.17045961624274877,0.18614534636634084,0.1777199826614651,0.20759890325107716,0.21815221815221816,0.24389298177588212,0.24414587332053742,0.2680914885639295,0.259012539184953,0.26927459172047097,0.2697466467958271,0.25654648956356735,0.28721098265895956,0.26175009552923195,0.28172499116295513,0.3021557719054242,0.24427480916030533,0.27887426900584794,0.2446043165467626,0.23411764705882354,0.2587920489296636
hh-rlhf_layer25,0.17715355805243446,0.07280954339777869,0.1184,0.17481203007518797,0.1467286101432443,0.1545245398773006,0.17306960821605172,0.16500765696784073,0.21035120147874306,0.21694067190850608,0.18017338861666038,0.1729607250755287,0.20190895741556533,0.1944755505785741,0.24728926197971318,0.2330613692798865,0.2683848797250859,0.2784071404050807,0.2879040319893369,0.2784503631961259,0.30635245901639346,0.3087790110998991,0.29223433242506813,0.3353135313531353,0.2962328767123288,0.32164683177870695,0.34735500318674317,0.27965811965811965,0.33043768793852324,0.2933104631217839,0.2630480167014614,0.2791327913279133
hh-rlhf_layer26,0.1690875232774674,0.07204610951008646,0.10793650793650794,0.18444022770398483,0.1487378640776699,0.15520553207837112,0.16534241392357168,0.16481410502108088,0.19473876507124588,0.2304630969609262,0.17777777777777778,0.1710079275198188,0.19824111396115793,0.19610778443113772,0.2359472588480222,0.23426946320654107,0.2722567287784679,0.2683259461302421,0.30087601078167114,0.26481671805412815,0.29131463332206825,0.30436241610738257,0.2830060934326337,0.325680551000328,0.28692988427501703,0.324620845434011,0.34908974768444584,0.2969129379118973,0.32821368948247076,0.2981730437780076,0.25815405968077726,0.2773450728073146
hh-rlhf_layer27,0.162291169451074,0.06801573917931422,0.10945802337938364,0.16257816257816257,0.13780918727915195,0.14520139234211835,0.1439576311988445,0.14348677766895201,0.16583371194911403,0.2034805890227577,0.15822179732313577,0.1567776169802219,0.15951197469498418,0.16557530402245088,0.19932857742341586,0.20767888307155322,0.21804818293180891,0.22204213938411668,0.2361002349256069,0.23931978432185816,0.25180722891566265,0.25611681136543013,0.24185110663983903,0.25772418990203466,0.24323232323232324,0.25869726128793485,0.282798833819242,0.2577704102776627,0.2749221183800623,0.2437043054427295,0.22464375523889354,0.2346076458752515
hh-rlhf_layer28,0.18652094717668488,0.0750394944707741,0.11536987351475661,0.18688164162696957,0.14947683109118087,0.15826538176426982,0.16757940854326397,0.16709796672828095,0.20355239786856127,0.224,0.1843065693430657,0.17346938775510204,0.203125,0.19380403458213258,0.25426039536468986,0.24609510586601874,0.27513404825737264,0.2789070309896701,0.30459016393442623,0.29415760869565216,0.3108153078202995,0.3144076140466032,0.30833612320053566,0.3312,0.2957793286806248,0.34877036090705843,0.3641218975808985,0.29690652320107597,0.3433912758281404,0.29812834224598933,0.27390268798911194,0.28978779840848806
hh-rlhf_layer29,0.1692614770459082,0.06684491978609626,0.11726525313717005,0.17331721080209592,0.13553719008264462,0.1481937602627258,0.15679161628375654,0.14766734279918864,0.19905956112852666,0.210546282245827,0.17431561996779388,0.1680129240710824,0.19158878504672897,0.18210609659540775,0.23009174311926606,0.22126544365406214,0.24356223175965666,0.25267665952890794,0.28556338028169015,0.24937208467886615,0.25994417306350315,0.27452339688041594,0.26636009904492397,0.3127783487495718,0.2703664176449662,0.3132164531355361,0.33666333666333664,0.2712536023054755,0.3197898423817863,0.29591836734693877,0.26612305411415865,0.27214285714285713
hh-rlhf_layer30,0.18017671917018824,0.07865646258503402,0.0996771589991929,0.17416378316032297,0.14631245043616178,0.15839243498817968,0.1655705996131528,0.16366483946750196,0.20549491908167106,0.22348623853211008,0.17376294591484465,0.1709104938271605,0.19070631970260224,0.19518716577540107,0.24687834463075276,0.23191027496382055,0.25650815688996875,0.28175438596491226,0.2895989123045547,0.2737174982431483,0.2799181725196045,0.28489741002354524,0.27850274725274726,0.3114483668756186,0.2820158784949948,0.3252379389563505,0.34270025839793283,0.2857142857142857,0.31594885598923284,0.29245283018867924,0.29277152197602613,0.28914405010438415
hh-rlhf_layer31,0.15050460728389645,0.07190549563430919,0.10975609756097561,0.15579227696404793,0.13376683697166744,0.1453541858325667,0.15606675687866486,0.14014466546112117,0.17699871740059855,0.20518178019222733,0.1641391614629795,0.16232014388489208,0.18103818103818103,0.1693583587952859,0.2097735399284863,0.21305418719211822,0.23106796116504855,0.23192307692307693,0.24404761904761904,0.23492804356281602,0.25436598329536825,0.27169811320754716,0.24780785360274496,0.2776368249365712,0.24532621136970623,0.2832618025751073,0.29298918730380186,0.24353531455036664,0.27476979742173113,0.2607683352735739,0.22161100196463654,0.2759702077616621
